Произведение,Год,Период,Жанр
"A narrative of the mutiny, on board his majesty's ship Bounty",1790,1790-1840,Нон-фикшн
The Rime of the Ancient Mariner,1797,1790-1840,Поэзия
The Corsair,1814,1790-1840,Поэзия
A Voyage Round Great Britain,1814,1790-1840,Нон-фикшн
The Pirate,1822,1790-1840,Художественная проза
The Island,1823,1790-1840,Поэзия
Mr Midshipman Easy,1836,1790-1840,Художественная проза
"Masterman Ready, or the Wreck of the Pacific",1841,1841-1900,Художественная проза
The Forsaken Merman,1849,1841-1900,Поэзия
Westward ho!,1855,1841-1900,Художественная проза
The Cruise of the Betsey,1855,1841-1900,Нон-фикшн
The Coral Island,1857,1841-1900,Художественная проза
Enoch Arden,1864,1841-1900,Поэзия
Treasure Island,1883,1841-1900,Художественная проза
The Nigger of the Narcissus,1897,1841-1900,Художественная проза
The Mirror of the Sea,1906,1901-1944,Нон-фикшн
South Sea Tales,1911,1901-1944,Художественная проза
Dauber,1912,1901-1944,Поэзия
Salt-water Poems and Ballads,1916,1901-1944,Поэзия
Captain Blood,1922,1901-1944,Художественная проза
To the Lighthouse,1927,1901-1944,Художественная проза
The Happy Return,1937,1901-1944,Художественная проза
The North Ship,1945,1945-1980,Поэзия
The Cruel Sea,1951,1945-1980,Художественная проза
The Sea Shall Not Have Them,1953,1945-1980,Художественная проза
The Last Grain Race,1956,1945-1980,Нон-фикшн
The Last Encounter,1967,1945-1980,Художественная проза
The Dolphin Crossing,1967,1945-1980,Художественная проза
The Mersey Sound,1967,1945-1980,Поэзия
Master and Commander,1969,1945-1980,Художественная проза
Rites of Passage,1980,1945-1980,Художественная проза
Blue at the Mizzen,1999,1981-2025,Художественная проза
In the Heart of the Sea,2000,1981-2025,Нон-фикшн
The Wrecking Light,2010,1981-2025,Поэзия
The Light Between Oceans,2012,1981-2025,Художественная проза
The North Water,2016,1981-2025,Художественная проза
Nobody,2019,1981-2025,Поэзия
Our Wives Under the Sea,2022,1981-2025,Художественная проза
The Wager,2023,1981-2025,Нон-фикшн
